image_name,mean_brightness,max_brightness,median_brightness,percentile_70_brightness
crop_Componenets_1.transformed059.tif,197.16067044000508,241,196.0,205.0
crop_Componenets_1.transformed060.tif,198.92242528735633,242,198.0,205.0
crop_Componenets_1.transformed061.tif,200.52346098249316,241,199.0,205.0
crop_Componenets_1.transformed062.tif,201.80558737285807,239,201.0,206.0
crop_Componenets_1.transformed063.tif,202.7545377554991,247,202.0,207.0
crop_Componenets_1.transformed064.tif,203.62808101613456,234,203.0,209.0
crop_Componenets_1.transformed065.tif,204.38942445138198,231,204.0,210.0
crop_Componenets_1.transformed066.tif,205.1861837140701,233,206.0,211.0
crop_Componenets_1.transformed067.tif,205.81003453086052,232,207.0,212.0
crop_Componenets_1.transformed068.tif,206.37455414304006,231,208.0,213.0
crop_Componenets_1.transformed069.tif,206.9529337755919,230,208.0,214.0
crop_Componenets_1.transformed070.tif,207.3458246561549,232,209.0,214.0
crop_Componenets_1.transformed071.tif,207.56986649568344,233,209.0,215.0
crop_Componenets_1.transformed072.tif,207.6160358337534,234,209.0,215.0
crop_Componenets_1.transformed073.tif,207.73342427438214,235,209.0,215.0
crop_Componenets_1.transformed074.tif,207.75831259247366,237,209.0,215.0
crop_Componenets_1.transformed075.tif,207.79706020723128,235,209.0,215.0
crop_Componenets_1.transformed076.tif,207.90125978108722,240,209.0,215.0
crop_Componenets_1.transformed077.tif,207.81666590157914,254,209.0,215.0
crop_Componenets_1.transformed078.tif,207.69047782979897,247,209.0,215.0
crop_Componenets_1.transformed079.tif,207.37904604546029,235,209.0,215.0
crop_Componenets_1.transformed080.tif,207.1440015608681,231,208.0,215.0
crop_Componenets_1.transformed081.tif,206.72251873787633,231,208.0,214.0
crop_Componenets_1.transformed082.tif,206.58760745067886,239,208.0,214.0
crop_Componenets_1.transformed083.tif,206.4796112717426,233,207.0,213.0
crop_Componenets_1.transformed084.tif,206.64318979559064,233,207.0,213.0
crop_Componenets_1.transformed085.tif,206.85836649046564,236,207.0,213.0
crop_Componenets_1.transformed086.tif,207.17062323043592,234,208.0,213.0
crop_Componenets_1.transformed087.tif,207.56404378474411,233,208.0,213.0
crop_Componenets_1.transformed088.tif,207.8224911749874,232,208.0,213.0
crop_Componenets_1.transformed089.tif,207.89855554281783,237,208.0,213.0
crop_Componenets_1.transformed090.tif,207.85256108887845,245,209.0,213.0
crop_Componenets_1.transformed091.tif,208.11499776358193,248,209.0,213.0
crop_Componenets_1.transformed092.tif,208.4658041725447,232,210.0,213.0
crop_Componenets_1.transformed093.tif,208.90332312421853,232,210.0,213.0
crop_Componenets_1.transformed094.tif,209.3576082966226,236,210.0,213.0
crop_Componenets_1.transformed095.tif,209.76799072926707,241,211.0,214.0
crop_Componenets_1.transformed096.tif,210.1762214647247,244,211.0,214.0
crop_Componenets_1.transformed097.tif,210.44864083019561,242,212.0,214.0
crop_Componenets_1.transformed098.tif,210.77438947380506,240,212.0,215.0
crop_Componenets_1.transformed099.tif,211.20312769108884,241,212.0,215.0
crop_Componenets_1.transformed100.tif,211.6816359354357,245,213.0,216.0
crop_Componenets_1.transformed101.tif,211.94468764721427,241,213.0,216.0
crop_Componenets_1.transformed102.tif,212.11394512902373,239,214.0,217.0
crop_Componenets_1.transformed103.tif,212.55509885416427,239,214.0,217.0
crop_Componenets_1.transformed104.tif,212.95690901994996,235,214.0,218.0
crop_Componenets_1.transformed105.tif,213.39122001606793,235,215.0,218.0
crop_Componenets_1.transformed106.tif,213.66033382312426,236,215.0,218.0
crop_Componenets_1.transformed107.tif,213.87013270272752,234,216.0,219.0
crop_Componenets_1.transformed108.tif,214.05823950047633,236,216.0,219.0
crop_Componenets_1.transformed109.tif,214.4344682755534,236,216.0,219.0
crop_Componenets_1.transformed110.tif,214.70979996097918,241,216.0,220.0
crop_Componenets_1.transformed111.tif,214.7810218978102,251,216.0,219.0
crop_Componenets_1.transformed112.tif,214.82458235260347,255,216.0,219.0
crop_Componenets_1.transformed113.tif,214.91159079166428,255,216.0,220.0
crop_Componenets_1.transformed114.tif,215.1844776119403,255,217.0,220.0
crop_Componenets_1.transformed115.tif,215.44987775061125,255,217.0,220.0
crop_Componenets_1.transformed116.tif,215.55962712954033,255,217.0,220.0
crop_Componenets_1.transformed117.tif,215.60574040681314,255,217.0,220.0
crop_Componenets_1.transformed118.tif,215.62138565635448,253,217.0,220.0
crop_Componenets_1.transformed119.tif,215.72295014136955,250,217.0,220.0
crop_Componenets_1.transformed120.tif,215.83914147507267,248,217.0,220.0
crop_Componenets_1.transformed121.tif,215.88166149603586,255,217.0,220.0
crop_Componenets_1.transformed122.tif,215.83838534724455,255,217.0,220.0
crop_Componenets_1.transformed123.tif,215.87554876226815,253,217.0,221.0
crop_Componenets_1.transformed124.tif,216.0451615127383,251,217.0,221.0
crop_Componenets_1.transformed125.tif,216.16751893177667,252,218.0,221.0
crop_Componenets_1.transformed126.tif,216.130858948578,250,218.0,221.0
crop_Componenets_1.transformed127.tif,216.20955007757283,252,218.0,221.0
crop_Componenets_1.transformed128.tif,216.13898655635987,244,217.0,221.0
crop_Componenets_1.transformed129.tif,216.1346622242647,248,217.0,221.0
crop_Componenets_1.transformed130.tif,216.30341983434997,252,218.0,221.0
crop_Componenets_1.transformed131.tif,216.2234437283891,252,218.0,221.0
crop_Componenets_1.transformed132.tif,216.22300215982722,252,217.0,221.0
crop_Componenets_1.transformed133.tif,216.2650130398318,242,218.0,221.0
crop_Componenets_1.transformed134.tif,216.18442566481423,240,218.0,221.0
crop_Componenets_1.transformed135.tif,216.42140798493494,244,218.0,221.0
crop_Componenets_1.transformed136.tif,216.51951451962935,240,218.0,221.0
crop_Componenets_1.transformed137.tif,216.45030253625268,240,218.0,221.0
crop_Componenets_1.transformed138.tif,216.34558359078014,244,218.0,221.0
crop_Componenets_1.transformed139.tif,216.36776356580248,244,218.0,221.0
crop_Componenets_1.transformed140.tif,216.4842154824929,251,218.0,221.0
crop_Componenets_1.transformed141.tif,216.55430750324456,246,218.0,221.0
crop_Componenets_1.transformed142.tif,216.6260179410312,244,218.0,221.0
crop_Componenets_1.transformed143.tif,216.6461959081458,243,218.0,221.0
crop_Componenets_1.transformed144.tif,216.54710977346872,250,218.0,221.0
crop_Componenets_1.transformed145.tif,216.5672027570362,245,218.0,221.0
crop_Componenets_1.transformed146.tif,216.5552632183644,244,218.0,221.0
crop_Componenets_1.transformed147.tif,216.63568269286,242,218.0,221.0
crop_Componenets_1.transformed148.tif,216.50823907676408,240,218.0,221.0
crop_Componenets_1.transformed149.tif,216.61938181275198,239,218.0,221.0
crop_Componenets_1.transformed150.tif,216.62159772147828,242,218.0,221.0
crop_Componenets_1.transformed151.tif,216.5803669851185,238,218.0,221.0
crop_Componenets_1.transformed152.tif,216.52425578831313,238,218.0,221.0
crop_Componenets_1.transformed153.tif,216.5672125123447,241,218.0,221.0
crop_Componenets_1.transformed154.tif,216.67859111580688,239,218.0,222.0
crop_Componenets_1.transformed155.tif,216.67592922183053,242,218.0,222.0
crop_Componenets_1.transformed156.tif,216.55008496762045,244,218.0,221.0
crop_Componenets_1.transformed157.tif,216.49738820963205,238,218.0,221.0
crop_Componenets_1.transformed158.tif,216.5365792071253,237,218.0,221.0
crop_Componenets_1.transformed159.tif,216.57400817338598,239,218.0,221.0
crop_Componenets_1.transformed160.tif,216.68462819408555,241,218.0,221.0
crop_Componenets_1.transformed161.tif,216.78338520909185,238,218.0,221.0
crop_Componenets_1.transformed162.tif,216.83200082707285,239,218.0,221.0
crop_Componenets_1.transformed163.tif,216.88675213675214,239,218.0,221.0
crop_Componenets_1.transformed164.tif,217.01228029867892,241,218.0,221.0
crop_Componenets_1.transformed165.tif,216.98870854727363,238,218.0,221.0
crop_Componenets_1.transformed166.tif,216.99392254402997,237,218.0,221.0
crop_Componenets_1.transformed167.tif,216.9430747667846,239,218.0,221.0
crop_Componenets_1.transformed168.tif,217.00901687361446,240,218.0,221.0
crop_Componenets_1.transformed169.tif,217.09363799283153,241,219.0,222.0
crop_Componenets_1.transformed170.tif,217.05498242308664,241,219.0,222.0
crop_Componenets_1.transformed171.tif,216.99823069852943,239,218.0,222.0
crop_Componenets_1.transformed172.tif,216.9989086355647,240,218.0,222.0
crop_Componenets_1.transformed173.tif,216.9777351424009,243,219.0,222.0
crop_Componenets_1.transformed174.tif,217.17832938960234,254,219.0,222.0
crop_Componenets_1.transformed175.tif,217.1587102850973,254,219.0,222.0
crop_Componenets_1.transformed176.tif,217.10233787121604,243,219.0,222.0
crop_Componenets_1.transformed177.tif,217.03910665870134,241,219.0,222.0
crop_Componenets_1.transformed178.tif,217.23347273604634,241,219.0,222.0
crop_Componenets_1.transformed179.tif,217.3624082434435,241,219.0,222.0
crop_Componenets_1.transformed180.tif,217.24147198676866,243,219.0,222.0
crop_Componenets_1.transformed181.tif,217.13414353979047,238,219.0,222.0
crop_Componenets_1.transformed182.tif,217.13053765663943,240,219.0,222.0
crop_Componenets_1.transformed183.tif,217.17853327973353,244,219.0,222.0
crop_Componenets_1.transformed184.tif,217.12449162473288,244,219.0,222.0
crop_Componenets_1.transformed185.tif,216.8749152659214,246,219.0,222.0
crop_Componenets_1.transformed186.tif,216.7479064958934,252,218.0,221.0
crop_Componenets_1.transformed187.tif,216.76381343960676,252,218.0,221.0
crop_Componenets_1.transformed188.tif,217.00330859545528,251,219.0,221.0
crop_Componenets_1.transformed189.tif,217.0554355320616,246,219.0,222.0
crop_Componenets_1.transformed190.tif,216.99890803342566,249,219.0,222.0
crop_Componenets_1.transformed191.tif,216.95041445833,245,218.0,222.0
crop_Componenets_1.transformed192.tif,216.92626786391804,252,218.0,222.0
crop_Componenets_1.transformed193.tif,216.85452350844923,253,218.0,221.0
crop_Componenets_1.transformed194.tif,216.71095833716547,254,218.0,221.0
crop_Componenets_1.transformed195.tif,216.69372880381675,254,218.0,221.0
crop_Componenets_1.transformed196.tif,216.63703260819574,255,218.0,221.0
crop_Componenets_1.transformed197.tif,216.72084789405923,255,218.0,221.0
crop_Componenets_1.transformed198.tif,216.69957125943975,254,218.0,221.0
crop_Componenets_1.transformed199.tif,216.62725464724613,253,218.0,221.0
crop_Componenets_1.transformed200.tif,216.5513122650511,255,218.0,221.0
crop_Componenets_1.transformed201.tif,216.46141022545672,255,218.0,221.0
crop_Componenets_1.transformed202.tif,216.47646916788355,255,218.0,221.0
crop_Componenets_1.transformed203.tif,216.50749459745276,248,218.0,221.0
crop_Componenets_1.transformed204.tif,216.46755336881674,239,218.0,221.0
crop_Componenets_1.transformed205.tif,216.31891637166106,237,218.0,221.0
crop_Componenets_1.transformed206.tif,216.18531926630808,251,218.0,221.0
crop_Componenets_1.transformed207.tif,216.27233455882353,250,218.0,221.0
crop_Componenets_1.transformed208.tif,216.44485429306857,236,218.0,221.0
crop_Componenets_1.transformed209.tif,216.29387642579,239,218.0,221.0
crop_Componenets_1.transformed210.tif,216.07578628268283,238,218.0,220.0
crop_Componenets_1.transformed211.tif,216.01234383611978,239,217.0,220.0
crop_Componenets_1.transformed212.tif,216.13076834730677,241,218.0,220.0
crop_Componenets_1.transformed213.tif,216.20619006603502,239,218.0,221.0
